"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEC14L3",92.8092761487477,-3.9590326502819,0.866404731185065,-4.56949564999114,4.88899313217393e-06,4.16225156658843e-05
"UPB1",29.0791014580368,-2.11075417709939,0.357627913088454,-5.90209572533374,3.58912801047573e-09,6.75681793092453e-08
"GGTLC2",12.6353726279051,-3.28141211741039,0.560302442872977,-5.85650153617892,4.72719218156688e-09,8.64720114687422e-08
"SLC5A1",304.392706720055,-2.50939851973478,0.518655118267548,-4.83827968017913,1.30967764654228e-06,1.32119447604567e-05
"SLC5A4",28.4799243129655,-2.21403069738486,0.527451074913874,-4.19760391567385,2.69753889623828e-05,0.00018482027449647
"RSPH14",41.4470801674408,-2.08573559097029,0.793573970268833,-2.62828125557561,0.00858175287723706,0.0255498921054603
"TIMP3",43451.8950572879,-3.02593001711655,0.270056295494522,-11.204811987721,3.86172814341941e-29,1.72861552521807e-26
"ACR",11.2517534056833,-2.51879127813019,0.516082537012163,-4.88059776777687,1.05764764484471e-06,1.09105459033709e-05
"CTSG",83.9814017746577,-2.81267245126015,0.642836575825102,-4.37540824065587,1.2120542137327e-05,9.12297581447535e-05
"GALNT16",179.699809364664,-2.0175367777727,0.452569817790198,-4.45795697915497,8.27445028536078e-06,6.55438673020476e-05
"SLC8A3",29.2345826432951,-2.20295721464485,0.403666635005546,-5.45736759892128,4.8324523985914e-08,6.95148429788551e-07
"RIMS4",80.345826616067,-3.23110406238817,0.556866127859439,-5.80229951282609,6.54115833570082e-09,1.15400389216162e-07
"TUBB1",74.2743830436873,-3.24680314506775,0.628296134592351,-5.16763189570524,2.37078654700187e-07,2.8865432576803e-06
"ANGPT4",132.510448225499,-5.13502342905829,0.577710935600907,-8.88856885445156,6.19010217427631e-19,6.96127303135733e-17
"RSPO4",273.184013474397,-2.9307336233501,0.521593025996562,-5.6188129006338,1.92273929716302e-08,3.0482094038149e-07
"SIRPB1",610.264627292669,-2.39657809018549,0.378055485214749,-6.3392231667374,2.30926541684492e-10,5.6262775027911e-09
"CCM2L",200.990569945155,-2.48053742175041,0.421258366745945,-5.88839918103368,3.89954316125676e-09,7.28939621052374e-08
"MYL9",12081.4750194986,-2.72646484086454,0.279110856181595,-9.76839410033785,1.53871628655907e-22,3.00233795776555e-20
"BPI",5.85439467993826,-2.65507953783584,0.672125213098773,-3.95027516613287,7.80613967363822e-05,0.000467610502780076
